_id,DishName,Calories,Protein,Carbohydrates,Fat,Fiber,Sodium,Iron,Calcium,Sugar,__v,nutritionId,selected,type,time
67ffc832d322d6a09e575ac5,Salad,150,5,20,7,3,150,2.5,40,8,0,,,,
680534f0d035d501d3d0fb00,Hot tea (Garam Chai),16.14,0.39,0,,,,,,,0,0,,,
680534f0d035d501d3d0fb01,Instant coffee,23.16,0.64,0,,,,,,,0,1,,,
680534f0d035d501d3d0fb02,Espreso coffee,51.54,1.75,0,,,,,,,0,2,,,
680534f0d035d501d3d0fb03,Iced tea,10.34,0.03,0,,,,,,,0,3,,,
680534f0d035d501d3d0fb04,Raw mango drink (Aam panna),35.92,0.16,0,,,,,,,0,4,,,
680534f0d035d501d3d0fb05,Fruit Punch (with fresh juices),36.12,0.14,0,,,,,,,0,5,,,
680534f0d035d501d3d0fb06,Fruit Punch (with squashes),23.13,0.07,0,,,,,,,0,6,,,
680534f0d035d501d3d0fb07,Lemonade,20.8,0.03,0,,,,,,,0,7,,,
680534f0d035d501d3d0fb08,Lem-o-gin,21.52,0.08,0,,,,,,,0,8,,,
680534f0d035d501d3d0fb09,Cumin infused water (Jeere/Zeere ka pani),9.09,0.17,0,,,,,,,0,9,,,
680534f0d035d501d3d0fb0a,Coco pine cooler,32.75,0.56,0,,,,,,,0,10,,,
680534f0d035d501d3d0fb0b,Summer cooler,22.43,0.37,0,,,,,,,0,11,,,
680534f0d035d501d3d0fb0c,Hot cocoa,90.1,3.36,0,,,,,,,0,12,,,
680534f0d035d501d3d0fb0d,Cold coffee with ice cream,67.85,1.57,0,,,,,,,0,13,,,
680534f0d035d501d3d0fb0e,Banana milkshake (Kele milkshake),65.31,1.84,0,,,,,,,0,14,,,
680534f0d035d501d3d0fb0f,Mango milkshake (Aam milkshake),56.9,1.73,0,,,,,,,0,15,,,
680534f0d035d501d3d0fb10,Pineapple milkshake (Ananas milkshake),55.72,1.66,0,,,,,,,0,16,,,
680534f0d035d501d3d0fb11,Orange milkshake (Narangi milkshake),57.42,1.86,0,,,,,,,0,17,,,
680534f0d035d501d3d0fb12,Egg nog,97.14,4.78,0,,,,,,,0,18,,,
680534f0d035d501d3d0fb13,Sweet Lassi (Meethi lassi),35.66,1.29,0,,,,,,,0,19,,,
680534f0d035d501d3d0fb14,Lassi (salted),18.84,1.35,0,,,,,,,0,20,,,
680534f0d035d501d3d0fb15,Cheese and chilli sandwich ,218.11,6.8,0,,,,,,,0,21,,,
680534f0d035d501d3d0fb16,Egg sandwich (Ande ka sandwich),285.96,8.69,0,,,,,,,0,22,,,
680534f0d035d501d3d0fb17,Cucumber sandwich (Kheere ka sandwich),188.6,4.8,0,,,,,,,0,23,,,
680534f0d035d501d3d0fb18,Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),257.71,8.2,0,,,,,,,0,24,,,
680534f0d035d501d3d0fb19,Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),243.32,7.92,0,,,,,,,0,25,,,
680534f0d035d501d3d0fb1a,Chicken sandwich,253.27,13.12,0,,,,,,,0,26,,,
680534f0d035d501d3d0fb1b,Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),291.43,9.53,0,,,,,,,0,27,,,
680534f0d035d501d3d0fb1c,Rainbow sandwich,272.75,7.75,0,,,,,,,0,28,,,
680534f0d035d501d3d0fb1d,Club sandwich ,235.32,7.31,0,,,,,,,0,29,,,
680534f0d035d501d3d0fb1e,Vegetarian club sandwich,198.33,5.45,0,,,,,,,0,30,,,
680534f0d035d501d3d0fb1f,Pin wheel sandwich,311.52,8.77,0,,,,,,,0,31,,,
680534f0d035d501d3d0fb20,Carrot apple sandwich (Gajar aur seb ka sandwich),214.11,5.3,0,,,,,,,0,32,,,
680534f0d035d501d3d0fb21,Salami sandwich,255.59,8.7,0,,,,,,,0,33,,,
680534f0d035d501d3d0fb22,Vegetable and mayonnaise sandwich,244.26,4.47,0,,,,,,,0,34,,,
