_id,DishImage,DishName,Calories,Protein,Carbohydrates,Fat,Fiber,Sodium,Iron,Calcium,Sugar,__v,QuantityRequired,nutritionId,selected,type,time
67ffc832d322d6a09e575ac5,https://drive.google.com/uc?id=14DPjVb9CoFXQKbaV1HVevtUkh7kjbxYM,Salad,150,5,20,7,3,150,2.5,40,8,0,280 g,,,,
680534f0d035d501d3d0fb00,https://drive.google.com/uc?id=16kLBmqvndKsodunO5KLto_0-_UPnukvE,Hot tea (Garam Chai),16.14,0.39,0,0,0,0,0,0,0,0,200 ml,0,,,
680534f0d035d501d3d0fb01,https://drive.google.com/uc?id=1CVZLZeZVYSnJiFlwqJ83sw9e135b_xsl,Instant coffee,23.16,0.64,0,0,0,0,0,0,0,0,200 ml,1,,,
680534f0d035d501d3d0fb02,https://drive.google.com/uc?id=1ZsV7ukaj4WUXgAJg7VrkJhISN_d59Tzb,Espreso coffee,51.54,1.75,0,0,0,0,0,0,0,0,200 ml,2,,,
680534f0d035d501d3d0fb03,https://drive.google.com/uc?id=1AJ-qv-J_dLCx3H-sS4tkvmMY64UkGihF,Iced tea,10.34,0.03,0,0,0,0,0,0,0,0,200 ml,3,,,
680534f0d035d501d3d0fb04,https://drive.google.com/uc?id=1Z0Oo-jkMih7ZvBLnpsF5lNh10u-EHutX,Raw mango drink (Aam panna),35.92,0.16,0,0,0,0,0,0,0,0,100 g,4,,,
680534f0d035d501d3d0fb05,https://drive.google.com/uc?id=1W7psr0DBJ3JbsjahzB25t_uIdCj-19ci,Fruit Punch (with fresh juices),36.12,0.14,0,0,0,0,0,0,0,0,100 g,5,,,
680534f0d035d501d3d0fb06,https://drive.google.com/uc?id=1OtruDHH8WbeJy0rvVuAWrCRzKTK8H1wm,Fruit Punch (with squashes),23.13,0.07,0,0,0,0,0,0,0,0,100 g,6,,,
680534f0d035d501d3d0fb07,https://drive.google.com/uc?id=1KQXTfEd79KvEcZraeyGu3sfqgGogsgLW,Lemonade,20.8,0.03,0,0,0,0,0,0,0,0,100 g,7,,,
680534f0d035d501d3d0fb08,https://drive.google.com/uc?id=1Y0A5y8jbfB6VMO3CsF2hcxjTeEO43qt4,Lem-o-gin,21.52,0.08,0,0,0,0,0,0,0,0,100 g,8,,,
